seed,total-variance,feature0-linear,feature1-xor_xor_xor
0,0.12106884,0.01853516,-0.00357791
0,10.63630295,0.65964047,-0.00100082
0,16.52020264,0.69437320,-0.00087858
0,19.51764488,0.70598679,-0.00085691
0,21.55168533,0.71258240,-0.00085127
0,23.09790611,0.71696009,-0.00085060
0,24.34806633,0.72019800,-0.00084979
0,25.39847946,0.72270427,-0.00084886
0,26.30513191,0.72474059,-0.00084887
0,27.10309601,0.72644089,-0.00084870
0,27.81602097,0.72789656,-0.00084606
0,28.46008682,0.72916662,-0.00084392
0,29.04719162,0.73028569,-0.00084190
0,29.58687401,0.73127568,-0.00084027
0,30.08680725,0.73216203,-0.00083890
0,30.55218887,0.73296574,-0.00083798
0,30.98707771,0.73370178,-0.00083736
0,31.39523315,0.73437734,-0.00083700
0,31.77975464,0.73500080,-0.00083670
0,32.14318466,0.73557796,-0.00083647
0,32.48739624,0.73611630,-0.00083622
0,32.81426239,0.73662084,-0.00083597
0,33.12541199,0.73709503,-0.00083566
0,33.42222214,0.73754121,-0.00083531
0,33.70571136,0.73796088,-0.00083500
0,33.97687149,0.73835741,-0.00083468
0,34.23662567,0.73873312,-0.00083438
0,34.48580933,0.73909059,-0.00083413
0,34.72518158,0.73943201,-0.00083395
0,34.95534515,0.73975896,-0.00083379
0,35.17683029,0.74007282,-0.00083367
0,35.39025879,0.74037498,-0.00083356
0,35.59598160,0.74066729,-0.00083347
0,35.79460526,0.74095063,-0.00083336
0,35.98657227,0.74122504,-0.00083324
0,36.17232513,0.74149115,-0.00083312
0,36.35219574,0.74174942,-0.00083298
0,36.52650833,0.74199996,-0.00083289
0,36.69552231,0.74224324,-0.00083283
0,36.85949326,0.74247950,-0.00083280
0,37.01860046,0.74270887,-0.00083282
0,37.17300797,0.74293179,-0.00083287
0,37.32287598,0.74314876,-0.00083295
0,37.46834946,0.74336028,-0.00083306
0,37.60955811,0.74356656,-0.00083319
0,37.74661255,0.74376714,-0.00083333
0,37.87968826,0.74396243,-0.00083347
0,38.00892258,0.74415271,-0.00083362
0,38.13444519,0.74433808,-0.00083377
0,38.25634766,0.74451830,-0.00083391
0,38.37477875,0.74469373,-0.00083406
0,38.05246735,0.74796773,-0.00087058
0,38.07363892,0.74825034,-0.00084583
0,38.11130524,0.74897516,-0.00079015
0,38.15953064,0.75014663,-0.00076358
0,38.20497894,0.75154406,-0.00074573
0,38.26181793,0.75222845,-0.00073916
0,38.31968307,0.75378267,-0.00072824
0,38.39306641,0.75467169,-0.00071712
0,38.46190643,0.75564098,-0.00071176
0,38.53213501,0.75582146,-0.00071296
0,38.60425186,0.75583807,-0.00071625
0,38.67043686,0.75570081,-0.00071751
0,38.73933029,0.75574708,-0.00071526
0,38.81755066,0.75578658,-0.00071305
0,38.89822769,0.75553372,-0.00071031
0,38.98550034,0.75528566,-0.00070921
0,39.07411957,0.75517153,-0.00071119
0,39.16675568,0.75498181,-0.00071676
0,39.26018524,0.75485662,-0.00072351
0,39.34291840,0.75472080,-0.00072885
0,39.42700577,0.75465831,-0.00072885
0,39.50654221,0.75420873,-0.00072969
0,39.58588791,0.75389264,-0.00072189
0,39.66992950,0.75368078,-0.00071561
0,39.76119995,0.75346967,-0.00070066
0,39.85617447,0.75331528,-0.00068662
0,39.95590973,0.75314439,-0.00067734
0,40.06230164,0.75292772,-0.00066747
0,40.17470551,0.75273261,-0.00065950
0,40.28507233,0.75238207,-0.00065573
0,40.40618896,0.75187321,-0.00065278
0,40.53649902,0.75154139,-0.00065305
0,40.66382599,0.75139181,-0.00065473
0,40.79244232,0.75101108,-0.00065346
0,40.91976929,0.75037103,-0.00065298
0,41.04190826,0.74991128,-0.00065303
0,41.16872025,0.74947171,-0.00065338
0,41.29526520,0.74908454,-0.00065410
0,41.42514038,0.74867797,-0.00065433
0,41.55812454,0.74841452,-0.00065362
0,41.69618225,0.74846451,-0.00064183
0,41.83798218,0.74853170,-0.00063287
0,41.98044586,0.74853356,-0.00062991
0,42.12763214,0.74863101,-0.00062323
0,42.26956177,0.74865269,-0.00061627
0,42.41412354,0.74869504,-0.00060937
0,42.55700302,0.74893587,-0.00060385
0,42.70046997,0.74909507,-0.00060053
0,42.84450531,0.74929131,-0.00059792
0,42.99532318,0.74891862,-0.00059980
0,43.15164566,0.74826965,-0.00060130
0,43.31462860,0.74764541,-0.00059749
0,43.47796249,0.74717523,-0.00059563
0,43.64007568,0.74694739,-0.00059243
0,43.81019592,0.74682056,-0.00059074
0,43.98724365,0.74666619,-0.00058455
0,44.16162872,0.74650808,-0.00058463
0,44.33685303,0.74616134,-0.00057398
0,44.51689148,0.74547163,-0.00057115
0,44.70556641,0.74506971,-0.00056657
0,44.89141083,0.74441346,-0.00056745
0,45.07782745,0.74396367,-0.00056330
0,45.26264191,0.74370197,-0.00055868
0,45.44313431,0.74359877,-0.00055754
0,45.62392044,0.74333511,-0.00055662
0,45.81210709,0.74301437,-0.00055894
0,46.00651550,0.74279651,-0.00056010
0,46.19972229,0.74257807,-0.00056004
0,46.38533401,0.74227489,-0.00055778
0,46.56769562,0.74201413,-0.00055220
0,46.75500488,0.74190182,-0.00055311
0,46.95279694,0.74170474,-0.00055300
0,47.15407562,0.74156886,-0.00055778
0,47.35734558,0.74121719,-0.00056353
0,47.55184937,0.74089173,-0.00056698
0,47.75198364,0.74022224,-0.00058267
0,47.94248199,0.73980715,-0.00058620
0,48.13575745,0.73924279,-0.00059291
0,48.32118225,0.73862237,-0.00058760
0,48.49850464,0.73776628,-0.00059357
0,48.66500854,0.73727611,-0.00059055
0,48.84833908,0.73673237,-0.00059177
0,49.03178406,0.73635903,-0.00058676
0,49.22186279,0.73612118,-0.00057683
0,49.41100311,0.73564918,-0.00057256
0,49.58582306,0.73518550,-0.00056787
0,49.76066208,0.73475979,-0.00056803
0,49.92168808,0.73419773,-0.00057132
0,50.07981491,0.73384900,-0.00057675
0,50.25112152,0.73323359,-0.00058390
0,50.42306519,0.73280210,-0.00058663
0,50.59458542,0.73205935,-0.00059268
0,50.74821472,0.73100522,-0.00060467
0,50.91957855,0.73000846,-0.00062195
0,51.10661697,0.72918161,-0.00065747
0,51.29383850,0.72869068,-0.00068698
0,51.46791840,0.72803284,-0.00072553
0,51.69322968,0.72786893,-0.00073994
0,51.92736816,0.72526629,-0.00056285
0,52.09923553,0.71912818,0.00013526
0,51.71235657,0.71301846,0.00154859
0,51.25983429,0.70480616,0.00381350
0,50.72231674,0.68333690,0.01077662
0,52.59455109,0.64581714,0.03830814
0,55.62424088,0.61908323,0.06795668
0,57.72945786,0.60595156,0.08510057
0,59.00981140,0.59832078,0.09628121
0,59.98973846,0.59267213,0.10391427
0,60.77762222,0.58857523,0.10967775
0,61.41702271,0.58519483,0.11424664
0,61.96543121,0.58238033,0.11799373
0,62.44592667,0.58000346,0.12115982
0,62.87440109,0.57793001,0.12389119
0,63.25991821,0.57612737,0.12628305
0,63.60898590,0.57452640,0.12842503
0,63.93077850,0.57311895,0.13035320
0,64.22916412,0.57185103,0.13209539
0,64.50740051,0.57068815,0.13369306
0,64.76777649,0.56961538,0.13516121
0,65.01158142,0.56861328,0.13651971
0,65.24359131,0.56768273,0.13778686
0,65.46411133,0.56681709,0.13897155
0,65.67494202,0.56600981,0.14007950
0,65.87706757,0.56525324,0.14112074
0,66.07089233,0.56454128,0.14210316
0,66.25704193,0.56386655,0.14303267
0,66.43611145,0.56322821,0.14391577
0,66.60875702,0.56262110,0.14475483
0,66.77499390,0.56204353,0.14555564
0,66.93609619,0.56149668,0.14632012
0,67.09227753,0.56097260,0.14705458
0,67.24345398,0.56046692,0.14775850
0,67.39030457,0.55997988,0.14843629
0,67.53277588,0.55950967,0.14909240
0,67.67115021,0.55905656,0.14972617
0,67.80574036,0.55862025,0.15033940
0,67.93704224,0.55819667,0.15093284
0,68.06540680,0.55778428,0.15150753
0,68.19059753,0.55738566,0.15206440
0,68.31312561,0.55700000,0.15260476
0,68.43295288,0.55662535,0.15313000
0,68.55037689,0.55626054,0.15364171
0,68.66558838,0.55590975,0.15413847
0,68.77850342,0.55557150,0.15462184
0,68.88897705,0.55524183,0.15509247
0,68.99745178,0.55492195,0.15555019
0,69.10406494,0.55461010,0.15599654
0,69.20871735,0.55430399,0.15643313
0,69.31144714,0.55400532,0.15685895
0,69.41268921,0.55371471,0.15727376
0,69.51216125,0.55343336,0.15767777
0,69.61013794,0.55316035,0.15807073
0,69.70652008,0.55289688,0.15845410
0,69.80155945,0.55264142,0.15882845
0,69.89522552,0.55239422,0.15919484
0,69.98750305,0.55215340,0.15955220
0,70.07838440,0.55191893,0.15990095
0,70.16763306,0.55168813,0.16024211
0,70.25548553,0.55146191,0.16057536
0,70.34220123,0.55124334,0.16090039
0,70.42790985,0.55103232,0.16121730
0,70.51272583,0.55082720,0.16152702
0,70.59634399,0.55062760,0.16183026
0,70.67891693,0.55043446,0.16212527
0,70.76042175,0.55024837,0.16241382
0,70.84089661,0.55006476,0.16269667
0,70.92040253,0.54988534,0.16297358
0,70.99893188,0.54971100,0.16324438
0,71.07637024,0.54954162,0.16350871
0,71.15293121,0.54937395,0.16376793
0,71.22846985,0.54921121,0.16402207
0,71.30318451,0.54905228,0.16427117
0,71.37690735,0.54889739,0.16451549
0,71.44995117,0.54874657,0.16475499
0,71.52206421,0.54859799,0.16499030
0,71.59346008,0.54845358,0.16522062
0,71.66410065,0.54831222,0.16544666
0,71.73387146,0.54817309,0.16566839
